sample_id	condition	bam_path
NASH_SRR8601541	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601541.markdup.sorted.bam
NASH_SRR8601542	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601542.markdup.sorted.bam
NASH_SRR8601543	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601543.markdup.sorted.bam
NASH_SRR8601544	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601544.markdup.sorted.bam
NASH_SRR8601545	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601545.markdup.sorted.bam
NASH_SRR8601546	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601546.markdup.sorted.bam
NASH_SRR8601547	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601547.markdup.sorted.bam
NASH_SRR8601548	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601548.markdup.sorted.bam
NASH_SRR8601549	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601549.markdup.sorted.bam
NASH_SRR8601550	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601550.markdup.sorted.bam
NASH_SRR8601551	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601551.markdup.sorted.bam
NASH_SRR8601552	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601552.markdup.sorted.bam
NASH_SRR8601553	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601553.markdup.sorted.bam
NASH_SRR8601554	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601554.markdup.sorted.bam
NASH_SRR8601555	NASH	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/NASH_SRR8601555.markdup.sorted.bam
Normal_weight_SRR8601557	Normal_weight	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/Normal_weight_SRR8601557.markdup.sorted.bam
Normal_weight_SRR8601558	Normal_weight	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/Normal_weight_SRR8601558.markdup.sorted.bam
Normal_weight_SRR8601559	Normal_weight	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/Normal_weight_SRR8601559.markdup.sorted.bam
Normal_weight_SRR8601560	Normal_weight	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/Normal_weight_SRR8601560.markdup.sorted.bam
Normal_weight_SRR8601561	Normal_weight	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/Normal_weight_SRR8601561.markdup.sorted.bam
Normal_weight_SRR8601562	Normal_weight	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/Normal_weight_SRR8601562.markdup.sorted.bam
Normal_weight_SRR8601563	Normal_weight	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/Normal_weight_SRR8601563.markdup.sorted.bam
Normal_weight_SRR8601564	Normal_weight	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/Normal_weight_SRR8601564.markdup.sorted.bam
Normal_weight_SRR8601565	Normal_weight	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/Normal_weight_SRR8601565.markdup.sorted.bam
Normal_weight_SRR8601566	Normal_weight	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/Normal_weight_SRR8601566.markdup.sorted.bam
Normal_weight_SRR8601567	Normal_weight	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/Normal_weight_SRR8601567.markdup.sorted.bam
Normal_weight_SRR8601568	Normal_weight	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/Normal_weight_SRR8601568.markdup.sorted.bam
Normal_weight_SRR8601569	Normal_weight	/rs01/projects/jadezhoulab/tud03125/pipeline/human_liver_GSE126848_rnaseq/star_salmon/Normal_weight_SRR8601569.markdup.sorted.bam
